Mine	Year	Variable	Value
M1	FY18	proc_cost_P	0
M1	FY18	proc_cost_P	10
M1	FY18	proc_cost_P	20
M1	FY18	proc_cost_P	40
M1	FY18	proc_cost_P	20
M1	FY18	proc_cost_P	10
M1	FY18	proc_cost_P	0
M1	FY18	proc_cost_P	0
M1	FY18	proc_cost_P	0
M1	FY19	proc_cost_P	0
M1	FY19	proc_cost_P	0
M1	FY19	proc_cost_P	5
M1	FY19	proc_cost_P	10
M1	FY19	proc_cost_P	20
M1	FY19	proc_cost_P	30
M1	FY19	proc_cost_P	20
M1	FY19	proc_cost_P	10
M1	FY19	proc_cost_P	5
M1	FY19	proc_cost_P	0
M1	FY19	proc_cost_P	0
M2	FY15	proc_cost_P	0
M2	FY15	proc_cost_P	0
M2	FY15	proc_cost_P	5
M2	FY15	proc_cost_P	10
M2	FY15	proc_cost_P	20
M2	FY15	proc_cost_P	30
M2	FY15	proc_cost_P	20
M2	FY15	proc_cost_P	10
M2	FY15	proc_cost_P	5
M2	FY15	proc_cost_P	0
M2	FY15	proc_cost_P	0
M2	FY16	proc_cost_P	0
M2	FY16	proc_cost_P	0
M2	FY16	proc_cost_P	0
M2	FY16	proc_cost_P	10
M2	FY16	proc_cost_P	20
M2	FY16	proc_cost_P	40
M2	FY16	proc_cost_P	20
M2	FY16	proc_cost_P	10
M2	FY16	proc_cost_P	0
M2	FY16	proc_cost_P	0
M2	FY16	proc_cost_P	0
M2	FY17	proc_cost_P	0
M2	FY17	proc_cost_P	0
M2	FY17	proc_cost_P	5
M2	FY17	proc_cost_P	10
M2	FY17	proc_cost_P	20
M2	FY17	proc_cost_P	30
M2	FY17	proc_cost_P	20
M2	FY17	proc_cost_P	10
M2	FY17	proc_cost_P	5
M2	FY17	proc_cost_P	0
M2	FY17	proc_cost_P	0
M2	FY18	proc_cost_P	0
M2	FY18	proc_cost_P	0
M2	FY18	proc_cost_P	0
M2	FY18	proc_cost_P	0
M2	FY18	proc_cost_P	10
M2	FY18	proc_cost_P	20
M2	FY18	proc_cost_P	40
M2	FY18	proc_cost_P	20
M2	FY18	proc_cost_P	10
M2	FY18	proc_cost_P	0
M2	FY18	proc_cost_P	0
M2	FY19	proc_cost_P	0
M2	FY19	proc_cost_P	0
M2	FY19	proc_cost_P	5
M2	FY19	proc_cost_P	10
M2	FY19	proc_cost_P	20
M2	FY19	proc_cost_P	30
M2	FY19	proc_cost_P	20
M2	FY19	proc_cost_P	10
M2	FY19	proc_cost_P	5
M2	FY19	proc_cost_P	0
M2	FY19	proc_cost_P	0
M3	FY15	proc_cost_P	0
M3	FY15	proc_cost_P	0
M3	FY15	proc_cost_P	5
M3	FY15	proc_cost_P	10
M3	FY15	proc_cost_P	20
M3	FY15	proc_cost_P	30
M3	FY15	proc_cost_P	20
M3	FY15	proc_cost_P	10
M3	FY15	proc_cost_P	5
M3	FY15	proc_cost_P	0
M3	FY15	proc_cost_P	0
M3	FY16	proc_cost_P	0
M3	FY16	proc_cost_P	0
M3	FY16	proc_cost_P	0
M3	FY16	proc_cost_P	10
M3	FY16	proc_cost_P	20
M3	FY16	proc_cost_P	40
M3	FY16	proc_cost_P	20
M3	FY16	proc_cost_P	10
M3	FY16	proc_cost_P	0
M3	FY16	proc_cost_P	0
M3	FY16	proc_cost_P	0
M3	FY17	proc_cost_P	0
M3	FY17	proc_cost_P	0
M3	FY17	proc_cost_P	0
M3	FY17	proc_cost_P	10
M3	FY17	proc_cost_P	20
M3	FY17	proc_cost_P	40
M3	FY17	proc_cost_P	20
M3	FY17	proc_cost_P	10
M3	FY17	proc_cost_P	0
M3	FY17	proc_cost_P	0
M3	FY17	proc_cost_P	0
M3	FY18	proc_cost_P	0
M3	FY18	proc_cost_P	0
M3	FY18	proc_cost_P	5
M3	FY18	proc_cost_P	10
M3	FY18	proc_cost_P	20
M3	FY18	proc_cost_P	30
M3	FY18	proc_cost_P	20
M3	FY18	proc_cost_P	10
M3	FY18	proc_cost_P	5
M3	FY18	proc_cost_P	0
M3	FY18	proc_cost_P	0
M3	FY19	proc_cost_P	0
M3	FY19	proc_cost_P	0
M3	FY19	proc_cost_P	0
M3	FY19	proc_cost_P	10
M3	FY19	proc_cost_P	20
M3	FY19	proc_cost_P	40
M3	FY19	proc_cost_P	20
M3	FY19	proc_cost_P	10
M3	FY19	proc_cost_P	0
M3	FY19	proc_cost_P	0
M3	FY19	proc_cost_P	0
